Timestamp,Ticker,Price,Size,Side
1756656903.09258,STOCK_1100_PE,53.6,10,BUY
1756656903.1007965,STOCK_1100_PE,53.6,10,BUY
1756656903.1059377,STOCK_1100_PE,53.6,10,BUY
1756656903.1106708,STOCK_1100_PE,53.6,10,BUY
1756656903.115375,STOCK_1100_PE,53.6,6,BUY
1756656903.1163538,STOCK_1100_PE,53.6,4,BUY
1756656903.1207693,STOCK_1100_PE,53.6,10,BUY
1756656903.1251857,STOCK_1100_PE,53.6,10,BUY
1756656903.1301732,STOCK_1100_PE,53.6,10,BUY
1756656903.134721,STOCK_1100_PE,53.6,6,BUY
1756656903.139183,STOCK_1100_PE,53.25,10,BUY
1756656903.144237,STOCK_1100_PE,53.25,10,BUY
1756656903.1499536,STOCK_1100_PE,53.25,6,BUY
1756656903.1551235,STOCK_1100_PE,53.65,10,BUY
1756656903.160353,STOCK_1100_PE,53.65,10,BUY
1756656903.1692972,STOCK_1100_PE,53.9,10,BUY
1756656903.1748035,STOCK_1100_PE,53.9,10,BUY
1756656903.1796393,STOCK_1100_PE,53.9,10,BUY
1756656903.1850514,STOCK_1100_PE,53.9,9,BUY
1756656903.1899788,STOCK_1100_PE,54.05,10,BUY
1756656903.1945717,STOCK_1100_PE,54.05,10,BUY
1756656903.199982,STOCK_1100_PE,54.05,7,BUY
1756656903.205916,STOCK_1100_PE,54.05,10,BUY
1756656903.210862,STOCK_1100_PE,54.05,10,BUY
1756656903.215712,STOCK_1100_PE,54.05,10,BUY
1756656903.2202673,STOCK_1100_PE,54.05,1,BUY
1756656903.2248251,STOCK_1100_PE,54.1,10,BUY
1756656903.229339,STOCK_1100_PE,54.1,10,BUY
1756656903.2346578,STOCK_1100_PE,54.1,10,BUY
1756656903.2401483,STOCK_1100_PE,54.1,10,BUY
1756656903.2451823,STOCK_1100_PE,54.1,1,BUY
1756656903.2501853,STOCK_1100_PE,53.5,2,BUY
1756656903.2548213,STOCK_1100_PE,54.15,10,BUY
1756656903.259303,STOCK_1100_PE,54.15,10,BUY
1756656903.2643595,STOCK_1100_PE,54.15,10,BUY
1756656903.2697067,STOCK_1100_PE,54.15,10,BUY
1756656903.2749028,STOCK_1100_PE,54.15,1,BUY
1756656903.2759724,STOCK_1100_PE,54.15,9,BUY
1756656903.2808049,STOCK_1100_PE,54.15,3,BUY
1756656903.2818499,STOCK_1100_PE,54.15,7,BUY
1756656903.2863553,STOCK_1100_PE,54.15,10,BUY
1756656903.2907434,STOCK_1100_PE,54.15,10,BUY
1756656903.2954068,STOCK_1100_PE,54.15,10,BUY
1756656903.2999396,STOCK_1100_PE,54.15,6,BUY
1756656903.3044167,STOCK_1100_PE,54.2,10,BUY
1756656903.3089628,STOCK_1100_PE,54.2,10,BUY
1756656903.3136888,STOCK_1100_PE,54.2,10,BUY
1756656903.3181152,STOCK_1100_PE,54.2,3,BUY
1756656903.3226163,STOCK_1100_PE,53.8,10,BUY
1756656903.3274415,STOCK_1100_PE,53.8,10,BUY
1756656903.3320549,STOCK_1100_PE,53.8,10,BUY
1756656903.336816,STOCK_1100_PE,53.8,5,BUY
1756656903.341551,STOCK_1100_PE,54.25,10,BUY
1756656903.3460796,STOCK_1100_PE,54.25,10,BUY
1756656903.3506503,STOCK_1100_PE,54.25,3,BUY
1756656903.3551433,STOCK_1100_PE,54.35,10,BUY
1756656903.3596752,STOCK_1100_PE,54.35,10,BUY
1756656903.3642333,STOCK_1100_PE,54.35,10,BUY
1756656903.3686976,STOCK_1100_PE,54.35,1,BUY
1756656903.3696694,STOCK_1100_PE,54.35,9,BUY
1756656903.3741565,STOCK_1100_PE,54.35,10,BUY
1756656903.3787608,STOCK_1100_PE,54.35,5,BUY
1756656903.3832088,STOCK_1100_PE,54.3,10,BUY
1756656903.3875418,STOCK_1100_PE,54.3,2,BUY
1756656903.3923292,STOCK_1100_PE,54.45,10,BUY
1756656903.3970373,STOCK_1100_PE,54.65,10,BUY
1756656903.401425,STOCK_1100_PE,54.65,10,BUY
1756656903.4060824,STOCK_1100_PE,54.65,10,BUY
1756656903.6442165,STOCK_1100_PE,54.65,10,BUY
1756656903.7070506,STOCK_1100_PE,54.65,10,BUY
1756656903.7716713,STOCK_1100_PE,54.65,3,BUY
1756656903.8357074,STOCK_1100_PE,54.35,10,BUY
1756656903.8992069,STOCK_1100_PE,54.35,10,BUY
1756656903.961866,STOCK_1100_PE,54.35,10,BUY
1756656904.0251658,STOCK_1100_PE,54.35,10,BUY
1756656904.0877454,STOCK_1100_PE,54.8,10,BUY
1756656904.1511838,STOCK_1100_PE,54.8,10,BUY
1756656904.2163723,STOCK_1100_PE,54.8,9,BUY
1756656904.2795138,STOCK_1100_PE,54.65,10,BUY
1756656904.3432293,STOCK_1100_PE,54.65,10,BUY
1756656904.408236,STOCK_1100_PE,54.65,10,BUY
1756656904.4743595,STOCK_1100_PE,54.65,10,BUY
1756656904.5380101,STOCK_1100_PE,54.65,2,BUY
1756656904.6015074,STOCK_1100_PE,54.9,10,BUY
1756656904.6801007,STOCK_1100_PE,54.9,10,BUY
1756656904.7453322,STOCK_1100_PE,54.9,10,BUY
1756656904.8079276,STOCK_1100_PE,54.9,4,BUY
1756656904.8092244,STOCK_1100_PE,54.9,6,BUY
1756656904.872208,STOCK_1100_PE,54.9,10,BUY
1756656904.9371867,STOCK_1100_PE,54.9,2,BUY
1756656905.0014422,STOCK_1100_PE,54.5,10,BUY
1756656905.066788,STOCK_1100_PE,54.5,10,BUY
1756656905.1293027,STOCK_1100_PE,54.5,10,BUY
1756656905.1929133,STOCK_1100_PE,54.5,10,BUY
1756656905.258272,STOCK_1100_PE,54.5,2,BUY
1756656905.3206546,STOCK_1100_PE,54.85,10,BUY
1756656905.3840601,STOCK_1100_PE,54.85,10,BUY
1756656905.4459968,STOCK_1100_PE,54.85,10,BUY
1756656905.50994,STOCK_1100_PE,54.85,3,BUY
1756656905.5758073,STOCK_1100_PE,53.65,10,BUY
1756656905.6397703,STOCK_1100_PE,53.65,10,BUY
1756656905.7030995,STOCK_1100_PE,53.65,2,BUY
1756656905.767187,STOCK_1100_PE,54.0,7,BUY
1756656905.8307073,STOCK_1100_PE,53.7,4,BUY
1756656905.8941426,STOCK_1100_PE,54.85,10,BUY
1756656905.9570987,STOCK_1100_PE,54.85,10,BUY
1756656906.0209181,STOCK_1100_PE,54.85,10,BUY
1756656906.0838692,STOCK_1100_PE,54.85,10,BUY
1756656906.1480079,STOCK_1100_PE,54.85,5,BUY
1756656906.2114766,STOCK_1100_PE,53.5,10,BUY
1756656906.2760453,STOCK_1100_PE,53.5,10,BUY
1756656906.338571,STOCK_1100_PE,53.5,10,BUY
1756656906.4038725,STOCK_1100_PE,53.5,10,BUY
1756656906.467583,STOCK_1100_PE,53.5,5,BUY
1756656906.5323398,STOCK_1100_PE,53.8,10,BUY
1756656906.5933545,STOCK_1100_PE,53.8,10,BUY
1756656906.656454,STOCK_1100_PE,53.8,1,BUY
1756656906.7184289,STOCK_1100_PE,54.05,10,BUY
1756656906.7831957,STOCK_1100_PE,54.05,10,BUY
1756656906.8454201,STOCK_1100_PE,54.05,10,BUY
1756656906.9087665,STOCK_1100_PE,54.05,1,BUY
1756656906.9739146,STOCK_1100_PE,54.35,10,BUY
1756656907.038471,STOCK_1100_PE,54.35,10,BUY
1756656907.1023154,STOCK_1100_PE,54.6,10,BUY
1756656907.1675823,STOCK_1100_PE,54.6,10,BUY
1756656907.231915,STOCK_1100_PE,54.6,7,BUY
1756656907.2945898,STOCK_1100_PE,54.3,10,BUY
1756656907.3568242,STOCK_1100_PE,54.3,10,BUY
1756656907.420594,STOCK_1100_PE,54.3,1,BUY
1756656907.492142,STOCK_1100_PE,54.7,10,BUY
1756656907.5635087,STOCK_1100_PE,54.7,10,BUY
1756656907.6317728,STOCK_1100_PE,54.7,7,BUY
1756656907.7072604,STOCK_1100_PE,54.15,10,BUY
1756656907.7760897,STOCK_1100_PE,54.15,10,BUY
1756656907.8461108,STOCK_1100_PE,54.15,6,BUY
1756656907.9137344,STOCK_1100_PE,54.75,10,BUY
1756656907.9825876,STOCK_1100_PE,54.75,10,BUY
1756656908.0519435,STOCK_1100_PE,54.75,10,BUY
1756656908.1225216,STOCK_1100_PE,54.75,10,BUY
1756656908.1948814,STOCK_1100_PE,54.75,2,BUY
1756656908.2679942,STOCK_1100_PE,53.9,10,BUY
1756656908.336453,STOCK_1100_PE,53.9,10,BUY
1756656908.4000418,STOCK_1100_PE,53.9,2,BUY
1756656908.4669428,STOCK_1100_PE,53.8,10,BUY
1756656908.5314822,STOCK_1100_PE,53.45,1,BUY
1756656908.5957406,STOCK_1100_PE,53.85,10,BUY
1756656908.6583662,STOCK_1100_PE,53.85,10,BUY
1756656908.7225568,STOCK_1100_PE,53.85,10,BUY
1756656908.7871594,STOCK_1100_PE,53.85,9,BUY
1756656908.8519397,STOCK_1100_PE,54.95,10,BUY
1756656908.9155567,STOCK_1100_PE,54.95,10,BUY
1756656908.9788692,STOCK_1100_PE,54.95,4,BUY
1756656909.0417485,STOCK_1100_PE,55.0,10,BUY
1756656909.1066647,STOCK_1100_PE,54.45,10,BUY
1756656909.1711645,STOCK_1100_PE,54.45,6,BUY
