macd_signal,rsi_signal,stoch_signal,status_signal,adx_signal,output
0,-0.25,-0.19999999999999996,-0.20062629337741555,48.223960440095354,0
0,-0.25,0.10000000000000003,-0.12299939547659261,46.81255760318976,1
0,-0.25,0.4,-0.1331078056196754,45.58934181120491,0
1,-0.25,0.4,-0.0191415115195785,44.529221458151376,0
0,-0.25,0.4,-0.0011800242007499813,43.61045048550498,0
0,-0.25,0.4,-0.034001520785055965,42.81418230921143,0
0,-0.25,1.5,0.1444245453198657,46.55527414050057,0
0,-0.25,1.5,0.177243134901477,50.427718049662985,0
0,-0.25,1.5,0.3374882710232651,55.33764533922833,0
0,0.5,1.5,0.4897652043009937,60.17707459276278,0
0,0.5,1.5,0.569988607209215,64.56402775690816,-1
0,1.5,1.5,0.6478422043528639,68.51566653743079,-1
0,1.5,1.5,0.9563114937857948,72.26954948378808,-1
0,1.5,1.5,0.9502205496334677,75.5229147039644,-1
0,1.5,1.5,0.707683451462619,78.34249789478389,-1
0,1.5,1.5,0.6977152840587417,80.78613666016078,0
0,1.5,1.5,0.5018353349544684,82.90395692348741,0
0,1.5,1.5,0.5939254437020793,84.73940115170383,-1
0,1.5,1.5,0.8912373985786032,86.33011948282473,-1
0,1.5,1.5,0.8261430410813693,87.70874203646284,-1
1,1.5,1.5,0.6496343544018354,88.90354824961587,-1
0,1.5,1.5,0.6888026417209169,89.93904696768182,-1
0,1.5,1.5,0.8733582051867244,90.83647919000565,-1
0,0.65,1.5,0.8749978265162677,91.6142537826863,-1
0,0.65,1.5,0.7951630104821094,92.28832509634287,-1
0,0.65,1.5,0.9201129022474454,92.87252023484523,-1
-1,0.65,1.5,0.8999223625754078,93.37882268821393,-1
-1,0.65,1.5,0.8226567102418672,93.81761814780015,-1
-1,0.65,1.5,0.9946381373814536,94.42159747784802,-1
-1,0.65,1.5,0.8767169834807897,94.94504623055619,-1
-1,0.65,1.5,0.6012463049865678,95.3987018162366,-1
-1,0.65,1.5,0.48158356790155976,84.21955752015907,-1
-1,0.65,1.5,0.5055609555155656,74.53096579689189,0
-1,0.65,0.7,0.4135561124518891,69.61849555200169,0
-1,0.65,0.39999999999999997,0.23020128363097478,69.33958781314637,0
-1,0.65,0.39999999999999997,0.3442128124388497,69.09786777280509,0
