Timestamp,Ticker,Price,Size,Side
1759896288.4734912,STOCK_1080_CE,43.7,5,BUY
1759896288.8444521,STOCK_1100_PE,9.32,3,BUY
1759896288.848455,STOCK_1100_PE,9.32,2,BUY
1759896291.4078503,STOCK_1080_CE,43.7,5,SELL
1759896324.8464508,STOCK_1100_PE,13.48,5,BUY
1759896325.0513484,STOCK_1070_CE,39.99,5,SELL
1759896325.2721202,STOCK_1100_PE,13.48,4,BUY
1759896325.276121,STOCK_1100_PE,13.48,1,BUY
1759896325.6497555,STOCK_1100_PE,13.48,4,BUY
1759896325.6507561,STOCK_1100_PE,13.48,1,BUY
1759896325.9039645,STOCK_1110_PE,18.45,5,SELL
1759910732.8165097,STOCK_1080_CE,8.44,5,BUY
1759910733.6693747,STOCK_1090_CE,5.78,5,BUY
1759910734.0962,STOCK_1065_PE,19.52,5,BUY
1759910734.2775307,STOCK_1090_PE,36.28,5,BUY
1759910734.8010461,STOCK_1080_CE,8.44,5,BUY
1759910735.013474,STOCK_1075_CE,10.07,5,BUY
1759910735.4590447,STOCK_1055_CE,18.86,5,BUY
1759910735.685498,STOCK_1065_PE,19.52,5,BUY
1759910735.8609238,STOCK_1095_PE,40.22,5,SELL
1759910736.0322573,STOCK_1095_PE,40.22,5,SELL
1759910736.306522,STOCK_1060_PE,16.84,5,BUY
1759910736.7845032,STOCK_1090_CE,5.78,5,BUY
1759910737.0123234,STOCK_1065_CE,14.0,5,SELL
1759910737.0698502,STOCK_1095_CE,4.72,5,SELL
1759910737.1265285,STOCK_1060_CE,16.31,5,BUY
1759910737.6688168,STOCK_1080_PE,28.95,5,SELL
1759910737.8275971,STOCK_1075_CE,10.07,5,SELL
1759910737.9307523,STOCK_1105_CE,3.08,5,BUY
1759910738.3123937,STOCK_1115_PE,57.4,5,SELL
